Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/U0/probe0_1,design_1_i/system_ila_0/U0/net_slot_0_axis_tdata[31:0],design_1_i/system_ila_0/U0/net_slot_0_axis_tstrb[3:0],design_1_i/system_ila_0/U0/net_slot_0_axis_tvalid,design_1_i/system_ila_0/U0/net_slot_0_axis_tready,design_1_i/system_ila_0/U0/net_slot_0_axis_tlast,design_1_i/system_ila_0/U0/net_slot_1_axis_tdata[31:0],design_1_i/system_ila_0/U0/net_slot_1_axis_tkeep[3:0],design_1_i/system_ila_0/U0/net_slot_1_axis_tvalid,design_1_i/system_ila_0/U0/net_slot_1_axis_tready,design_1_i/system_ila_0/U0/net_slot_1_axis_tlast,Interface_(i1:s0)_(AXIS_S2M_0_M00_AXIS)[2:0],Interface_(i1:s1)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s0)_(AXIS_S2M_0_M00_AXIS)[2:0],T_Channel_(i1:s1)_(axi_dma_0_M_AXIS_MM2S)[2:0]
142,142,0,0,00111110001111110110111010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
143,143,0,0,00111110001111010111000001000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
144,144,0,0,00111110000000010010101101000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
145,145,0,0,00111101010001100100001000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
146,146,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
147,147,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
148,148,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
149,149,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
150,150,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
151,151,0,0,00111101001101010011111010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
152,152,0,0,00111110000010110011010101000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
153,153,0,0,00111110011011111110110001000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
154,154,0,0,00111110101000111010011011000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
155,155,0,0,00111110101011101111111111100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
156,156,0,0,00111110100100001111011001100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
157,157,0,0,00111100101100001111110000100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
158,158,0,0,00111101100111101101010100000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
159,159,0,0,00111101111010000101100010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
160,160,0,0,00111110001100001100100011100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
161,161,0,0,00111110010010100100111100000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
162,162,0,0,00111110010111100000011100000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
163,163,0,0,00111110011001101110101000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
164,164,0,0,00111110011011101000010111100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
165,165,0,0,00111110011111101100011010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
166,166,0,0,00111110100001101000101111000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
167,167,0,0,00111110100100011100111011000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
168,168,0,0,00111110100110000111101000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
169,169,0,0,00111110100110100001101011100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
170,170,0,0,00111110100101101010101001100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
171,171,0,0,00111110011011000110010001100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
172,172,0,0,00111110000010010010011001000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
173,173,0,0,00111101011111011110001010100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
174,174,0,0,00111100010110100100111011000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
175,175,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
176,176,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
177,177,0,0,00111011100001000000011010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
178,178,0,0,00111011111011111010110110000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
179,179,0,0,00111011100001111010110110000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
180,180,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
181,181,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
182,182,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
183,183,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
